armed,age,gender,signs_of_mental_illness,threat_level,flee,body_camera,y
gun,21.0,M,True,attack,Not fleeing,True,0
knife,28.0,M,False,other,Not fleeing,False,0
gun,41.0,M,False,attack,Car,True,0
gun,37.0,M,False,other,Not fleeing,False,0
gun,61.0,M,False,attack,Not fleeing,False,0
other,38.0,F,False,attack,Car,False,0
gun,24.0,M,False,attack,Foot,False,0
gun,44.0,M,False,attack,Not fleeing,False,0
gun,57.0,M,False,other,Not fleeing,False,0
knife,32.0,M,False,other,Foot,False,0
gun,47.0,M,False,attack,Car,False,0
gun,24.0,M,True,attack,Not fleeing,False,0
gun,42.0,F,False,attack,Not fleeing,False,0
other,33.0,F,True,attack,Not fleeing,True,0
gun,26.0,M,True,attack,Foot,False,0
unarmed,29.0,M,False,attack,Not fleeing,False,0
unarmed,21.0,M,False,attack,Not fleeing,False,0
unarmed,20.0,M,False,undetermined,Foot,False,0
knife,28.0,M,False,other,Not fleeing,False,0
gun,40.0,M,False,attack,Not fleeing,False,0
gun,44.0,M,False,attack,Not fleeing,False,0
gun,56.0,F,False,attack,Not fleeing,False,0
gun,54.0,M,False,attack,Foot,False,0
gun,51.0,M,False,attack,Not fleeing,False,0
knife,38.0,M,False,other,Not fleeing,False,0
knife,35.0,M,False,attack,Not fleeing,False,0
gun,53.0,M,False,other,Not fleeing,False,0
knife,50.0,M,False,other,Not fleeing,False,0
other,55.0,M,False,attack,Not fleeing,False,0
knife,30.0,M,False,attack,Not fleeing,False,0
gun,38.0,M,False,attack,Not fleeing,False,0
gun,40.0,M,False,other,Not fleeing,False,0
other,53.0,M,False,other,Not fleeing,False,0
gun,29.0,M,False,other,Foot,False,0
knife,45.0,M,False,other,Car,False,0
gun,26.0,M,False,attack,Foot,False,0
unarmed,46.0,M,True,undetermined,Car,True,0
unarmed,33.0,M,False,other,Not fleeing,False,0
other,33.0,M,True,other,Not fleeing,False,0
gun,39.0,M,False,attack,Car,False,0
gun,22.0,M,False,other,Other,False,0
gun,56.0,M,False,attack,Not fleeing,False,0
gun,46.0,M,False,attack,Not fleeing,False,0
other,33.0,F,True,other,Car,False,0
other,32.0,M,False,attack,Not fleeing,False,0
gun,32.0,M,True,attack,Not fleeing,False,0
other,30.0,M,False,other,Car,False,0
unarmed,32.0,M,False,other,Car,False,0
gun,24.0,M,False,other,Car,False,0
other,20.0,M,True,attack,Not fleeing,False,0
other,27.0,M,False,other,Car,False,0
gun,50.0,M,False,attack,Not fleeing,False,0
knife,57.0,M,True,attack,Not fleeing,False,0
other,32.0,F,False,attack,Car,False,0
gun,24.0,M,False,attack,Not fleeing,True,0
gun,48.0,M,False,attack,Car,False,0
unarmed,34.0,M,True,other,Not fleeing,False,0
other,37.0,M,True,attack,Not fleeing,False,0
other,39.0,M,False,attack,Not fleeing,False,0
gun,31.0,M,False,other,Not fleeing,False,0
gun,28.0,M,True,attack,Not fleeing,False,0
gun,20.0,M,False,attack,Foot,False,0
gun,40.0,M,False,other,Not fleeing,False,0
unarmed,30.0,F,False,other,Not fleeing,False,0
gun,32.0,M,False,attack,Not fleeing,False,0
other,42.0,M,True,other,Not fleeing,False,0
gun,41.0,M,True,attack,Car,False,0
gun,41.0,M,False,other,Foot,False,0
unarmed,58.0,F,False,attack,Not fleeing,False,0
gun,77.0,M,False,attack,Not fleeing,False,0
gun,30.0,M,False,attack,Car,False,0
knife,46.0,M,True,attack,Not fleeing,True,0
gun,55.0,M,False,attack,Not fleeing,False,0
gun,62.0,M,False,attack,Not fleeing,False,0
other,31.0,M,False,attack,Car,False,0
gun,33.0,M,False,attack,Not fleeing,False,0
gun,18.0,M,False,other,Not fleeing,False,0
gun,45.0,M,True,other,Not fleeing,False,0
gun,37.0,M,True,attack,Not fleeing,True,0
knife,29.0,M,False,attack,Not fleeing,False,0
gun,37.0,M,False,attack,Car,False,0
gun,63.0,M,True,attack,Not fleeing,True,0
other,29.0,M,False,attack,Not fleeing,False,0
gun,43.0,M,False,attack,Car,False,0
gun,58.0,M,False,attack,Not fleeing,False,0
knife,28.0,M,True,attack,Not fleeing,True,0
other,36.0,M,False,attack,Car,False,0
other,32.0,M,False,attack,Car,False,0
gun,56.0,M,True,other,Not fleeing,False,0
other,31.0,M,False,attack,Car,False,0
other,73.0,M,False,attack,Car,False,0
gun,37.0,M,False,attack,Car,True,0
other,25.0,M,False,attack,Not fleeing,True,0
gun,34.0,M,False,attack,Other,True,0
other,40.0,M,True,other,Not fleeing,True,0
gun,49.0,M,True,attack,Foot,False,0
gun,33.0,M,False,attack,Not fleeing,False,0
unarmed,46.0,M,False,attack,Not fleeing,False,0
other,38.0,M,False,other,Car,True,0
gun,41.0,M,False,attack,Foot,False,0
gun,76.0,M,False,attack,Not fleeing,False,0
gun,40.0,F,False,attack,Car,False,0
unarmed,36.0,M,True,other,Foot,False,0
gun,16.0,M,False,attack,Not fleeing,False,0
other,48.0,M,False,other,Car,False,0
gun,49.0,M,False,attack,Not fleeing,False,0
gun,25.0,M,True,attack,Car,False,0
other,24.0,M,False,attack,Car,False,0
gun,27.0,M,True,attack,Not fleeing,False,0
gun,27.0,M,False,other,Not fleeing,False,0
knife,47.0,M,False,other,Not fleeing,False,0
gun,58.0,M,False,attack,Not fleeing,False,0
other,45.0,F,False,other,Not fleeing,False,0
gun,47.0,M,False,attack,Car,False,0
gun,21.0,M,False,attack,Car,False,0
knife,41.0,M,True,other,Car,False,0
gun,49.0,M,False,attack,Not fleeing,False,0
gun,47.0,M,False,attack,Not fleeing,False,0
gun,35.0,M,False,other,Not fleeing,False,0
knife,43.0,M,False,other,Not fleeing,False,0
gun,32.0,M,False,attack,Not fleeing,False,0
knife,50.0,M,False,other,Car,False,0
gun,46.0,M,False,attack,Not fleeing,False,0
gun,57.0,M,True,other,Not fleeing,False,0
gun,53.0,M,False,attack,Not fleeing,False,0
knife,42.0,M,False,attack,Not fleeing,False,0
gun,69.0,M,False,other,Not fleeing,False,0
gun,42.0,M,False,attack,Not fleeing,False,0
other,44.0,M,False,attack,Foot,False,0
gun,34.0,M,True,attack,Not fleeing,False,0
other,62.0,M,False,other,Not fleeing,False,0
gun,38.0,M,True,attack,Not fleeing,False,0
unarmed,31.0,M,False,attack,Not fleeing,False,0
other,43.0,M,False,attack,Car,False,0
gun,27.0,M,False,attack,Not fleeing,False,0
knife,47.0,M,True,attack,Not fleeing,True,0
gun,56.0,M,True,attack,Not fleeing,False,0
other,32.0,M,False,attack,Foot,False,0
gun,34.0,M,False,other,Car,False,0
other,41.0,M,False,undetermined,Car,False,0
knife,46.0,M,True,attack,Foot,True,0
gun,45.0,M,False,attack,Car,False,0
unarmed,20.0,M,True,other,Not fleeing,False,0
gun,58.0,M,False,attack,Not fleeing,True,0
gun,67.0,M,False,attack,Not fleeing,False,0
